dates,label,Year,Month,Yearmonth
"Jun 17, 2018",1,2018,Jun,2018-06-01
"Jun 17, 2018",1,2018,Jun,2018-06-01
"Jul 2, 2018",1,2018,Jul,2018-07-01
"Jun 16, 2018",1,2018,Jun,2018-06-01
"Jun 16, 2018",1,2018,Jun,2018-06-01
"Jun 17, 2018",1,2018,Jun,2018-06-01
"Jun 30, 2018",1,2018,Jun,2018-06-01
"Jun 15, 2018",1,2018,Jun,2018-06-01
"Jun 29, 2018",1,2018,Jun,2018-06-01
"Jun 14, 2018",1,2018,Jun,2018-06-01
"Jun 14, 2018",1,2018,Jun,2018-06-01
"Jun 13, 2018",1,2018,Jun,2018-06-01
"Jun 13, 2018",1,2018,Jun,2018-06-01
"Jun 13, 2018",1,2018,Jun,2018-06-01
"Jun 27, 2018",1,2018,Jun,2018-06-01
"Jun 12, 2018",1,2018,Jun,2018-06-01
"Jun 26, 2018",1,2018,Jun,2018-06-01
"Jun 11, 2018",0,2018,Jun,2018-06-01
"May 29, 2018",1,2018,May,2018-05-01
"Jun 8, 2018",1,2018,Jun,2018-06-01
"Jun 17, 2018",0,2018,Jun,2018-06-01
"Jun 6, 2018",1,2018,Jun,2018-06-01
"Jun 23, 2018",0,2018,Jun,2018-06-01
"Jun 23, 2018",1,2018,Jun,2018-06-01
"Jun 23, 2018",1,2018,Jun,2018-06-01
"Jul 15, 2018",0,2018,Jul,2018-07-01
"Jun 7, 2018",1,2018,Jun,2018-06-01
"Jun 18, 2018",1,2018,Jun,2018-06-01
"Jun 6, 2018",1,2018,Jun,2018-06-01
"Jun 20, 2018",1,2018,Jun,2018-06-01
"Jun 20, 2018",1,2018,Jun,2018-06-01
"Jun 5, 2018",1,2018,Jun,2018-06-01
"Jun 5, 2018",1,2018,Jun,2018-06-01
"Jun 4, 2018",1,2018,Jun,2018-06-01
"Jun 4, 2018",1,2018,Jun,2018-06-01
"Jun 3, 2018",1,2018,Jun,2018-06-01
"Jun 3, 2018",1,2018,Jun,2018-06-01
"Jun 2, 2018",1,2018,Jun,2018-06-01
"Jun 2, 2018",1,2018,Jun,2018-06-01
"Jun 2, 2018",1,2018,Jun,2018-06-01
"May 29, 2018",1,2018,May,2018-05-01
"Jun 14, 2018",1,2018,Jun,2018-06-01
"May 22, 2018",1,2018,May,2018-05-01
"Jun 1, 2018",1,2018,Jun,2018-06-01
"May 31, 2018",1,2018,May,2018-05-01
"Jun 14, 2018",1,2018,Jun,2018-06-01
"Jun 13, 2018",1,2018,Jun,2018-06-01
"May 29, 2018",1,2018,May,2018-05-01
"Jun 11, 2018",1,2018,Jun,2018-06-01
"Jun 8, 2018",1,2018,Jun,2018-06-01
"Jun 10, 2018",1,2018,Jun,2018-06-01
"Jun 27, 2018",0,2018,Jun,2018-06-01
"Jun 3, 2018",1,2018,Jun,2018-06-01
"May 25, 2018",1,2018,May,2018-05-01
"May 31, 2018",1,2018,May,2018-05-01
"Jun 8, 2018",1,2018,Jun,2018-06-01
"Jun 4, 2018",1,2018,Jun,2018-06-01
"May 23, 2018",1,2018,May,2018-05-01
"May 23, 2018",1,2018,May,2018-05-01
"May 23, 2018",1,2018,May,2018-05-01
"May 16, 2018",1,2018,May,2018-05-01
"May 22, 2018",1,2018,May,2018-05-01
"May 22, 2018",1,2018,May,2018-05-01
"Jun 5, 2018",1,2018,Jun,2018-06-01
